FARM,TYPE,UNITS,DBH01,DBH02,DBH03,DBH04,DBH05,DBH06,DBH07,DBH08,DBH09,DBH10,DBH11,DBH12,DBH13,DBH14,DBH15,DBH16,DBH17,DBH18,DBH19,DBH20
UTUA2,Co,mm,6.8,9.7,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,9.4,8.5,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,9.9,8.2,7.4,6.9,,,,,,,,,,,,,,,,
UTUA2,Co,mm,14.6,14.2,17.4,16.3,17.9,17.8,,,,,,,,,,,,,,
UTUA2,Citr,cm,11.8,10.7,8.3,10.3,,,,,,,,,,,,,,,,
UTUA2,Co,mm,5.7,6.4,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,8.7,7.1,6.6,6.6,,,,,,,,,,,,,,,,
UTUA2,Co,mm,6.4,,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,5.4,,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,6,8,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,6.5,4.2,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,8.9,15.4,14,14.7,20.2,41.7,,,,,,,,,,,,,,
UTUA2,Co,mm,7,7.1,5.2,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,6.7,5.5,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,6.5,4.2,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,4,6.5,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,18.2,5.5,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,4.5,,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,6.3,,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,6.4,,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,5.7,,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,14.8,24.3,37.6,24.1,30.7,,,,,,,,,,,,,,,
UTUA2,Co,mm,40.1,32,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,30.1,,,,,,,,,,,,,,,,,,,
UTUA2,Co,mm,7,8.3,7.9,,,,,,,,,,,,,,,,,
UTUA2,Citr,cm,10.5,9.5,9.6,7.8,,,,,,,,,,,,,,,,
UTUA2,Citr,cm,11.3,8,17.2,10.5,,,,,,,,,,,,,,,,
UTUA20,Co,mm,33.1,15.2,,,,,,,,,,,,,,,,,,
UTUA20,Ba,cm,18.7,,,,,,,,,,,,,,,,,,,
UTUA20,Ba,cm,10.6,,,,,,,,,,,,,,,,,,,
UTUA20,Co,mm,13.2,,,,,,,,,,,,,,,,,,,
UTUA20,Co,mm,9.7,7,,,,,,,,,,,,,,,,,,
UTUA20,Co,mm,12.8,,,,,,,,,,,,,,,,,,,
UTUA20,Ba,cm,6.5,,,,,,,,,,,,,,,,,,,
UTUA20,Ba,cm,5.6,,,,,,,,,,,,,,,,,,,
UTUA20,Co,mm,15,,,,,,,,,,,,,,,,,,,
UTUA20,Ba,cm,6,,,,,,,,,,,,,,,,,,,
UTUA20,Co,mm,18.5,,,,,,,,,,,,,,,,,,,
UTUA20,Ba,cm,6.8,,,,,,,,,,,,,,,,,,,
UTUA20,Ba,cm,16,,,,,,,,,,,,,,,,,,,
UTUA20,Ba,cm,12.5,,,,,,,,,,,,,,,,,,,
UTUA20,Co,mm,9,,,,,,,,,,,,,,,,,,,
UTUA20,Ba,cm,5,,,,,,,,,,,,,,,,,,,
UTUA20,Ba,cm,12.6,,,,,,,,,,,,,,,,,,,
UTUA20,unk.,mm,20.1,15.3,,,,,,,,,,,,,,,,,,
UTUA20,Ba,cm,7,,,,,,,,,,,,,,,,,,,
UTUA20,Ba,cm,11.1,,,,,,,,,,,,,,,,,,,
