"FARM","TYPE","DBH_cm","basalA"
"UTUA2","Co",0.68,0.36316811075498
"UTUA2","Co",0.97,0.738981131940659
"UTUA2","Co",0.94,0.693977817177985
"UTUA2","Co",0.85,0.567450173054656
"UTUA2","Co",0.99,0.769768739945839
"UTUA2","Co",0.82,0.528101725068444
"UTUA2","Co",0.74,0.430084034276443
"UTUA2","Co",0.69,0.373928065593525
"UTUA2","Co",1.46,1.674154725098
"UTUA2","Co",1.42,1.58367685667461
"UTUA2","Co",1.74,2.37787147950211
"UTUA2","Co",1.63,2.08672438033068
"UTUA2","Co",1.79,2.51649425534176
"UTUA2","Co",1.78,2.48845554090848
"UTUA2","Citr",11.8,109.358840271461
"UTUA2","Citr",10.7,89.9202357273738
"UTUA2","Citr",8.3,54.1060794764502
"UTUA2","Citr",10.3,83.3228911548353
"UTUA2","Co",0.57,0.255175863287831
"UTUA2","Co",0.64,0.321699087727595
"UTUA2","Co",0.87,0.594467869875528
"UTUA2","Co",0.71,0.395919214168654
"UTUA2","Co",0.66,0.342119439975928
"UTUA2","Co",0.66,0.342119439975928
"UTUA2","Co",0.64,0.321699087727595
"UTUA2","Co",0.54,0.229022104446696
"UTUA2","Co",0.6,0.282743338823081
"UTUA2","Co",0.8,0.502654824574367
"UTUA2","Co",0.65,0.331830724035422
"UTUA2","Co",0.42,0.13854423602331
"UTUA2","Co",0.89,0.622113885227119
"UTUA2","Co",1.54,1.86265028431339
"UTUA2","Co",1.4,1.539380400259
"UTUA2","Co",1.47,1.69716689128555
"UTUA2","Co",2.02,3.20473866592695
"UTUA2","Co",4.17,13.6572101235019
"UTUA2","Co",0.7,0.38484510006475
"UTUA2","Co",0.71,0.395919214168654
"UTUA2","Co",0.52,0.21237166338267
"UTUA2","Co",0.67,0.352565235549115
"UTUA2","Co",0.55,0.237582944427728
"UTUA2","Co",0.65,0.331830724035422
"UTUA2","Co",0.42,0.13854423602331
"UTUA2","Co",0.4,0.125663706143592
"UTUA2","Co",0.65,0.331830724035422
"UTUA2","Co",1.82,2.60155287643771
"UTUA2","Co",0.55,0.237582944427728
"UTUA2","Co",0.45,0.159043128087983
"UTUA2","Co",0.63,0.311724531052447
"UTUA2","Co",0.64,0.321699087727595
"UTUA2","Co",0.57,0.255175863287831
"UTUA2","Co",1.48,1.72033613710577
"UTUA2","Co",2.43,4.63769761504559
"UTUA2","Co",3.76,11.1036450748478
"UTUA2","Co",2.41,4.56167107282872
"UTUA2","Co",3.07,7.40229915020461
"UTUA2","Co",4.01,12.6292810072473
"UTUA2","Co",3.2,8.04247719318987
"UTUA2","Co",3.01,7.11578590019722
"UTUA2","Co",0.7,0.38484510006475
"UTUA2","Co",0.83,0.541060794764502
"UTUA2","Co",0.79,0.490166993776348
"UTUA2","Citr",10.5,86.5901475145687
"UTUA2","Citr",9.5,70.8821842466197
"UTUA2","Citr",9.6,72.3822947387088
"UTUA2","Citr",7.8,47.7836242611007
"UTUA2","Citr",11.3,100.28749148422
"UTUA2","Citr",8,50.2654824574367
"UTUA2","Citr",17.2,232.352192659501
"UTUA2","Citr",10.5,86.5901475145687
"UTUA20","Co",3.31,8.60490081799878
"UTUA20","Co",1.52,1.81458391671346
"UTUA20","Ba",18.7,274.645883758454
"UTUA20","Ba",10.6,88.2473376393373
"UTUA20","Co",1.32,1.36847775990371
"UTUA20","Co",0.97,0.738981131940659
"UTUA20","Co",0.7,0.38484510006475
"UTUA20","Co",1.28,1.28679635091038
"UTUA20","Ba",6.5,33.1830724035422
"UTUA20","Ba",5.6,24.630086404144
"UTUA20","Co",1.5,1.76714586764426
"UTUA20","Ba",6,28.2743338823081
"UTUA20","Co",1.85,2.68802521422777
"UTUA20","Ba",6.8,36.316811075498
"UTUA20","Ba",16,201.061929829747
"UTUA20","Ba",12.5,122.718463030851
"UTUA20","Co",0.9,0.636172512351933
"UTUA20","Ba",5,19.6349540849362
"UTUA20","Ba",12.6,124.689812420979
"UTUA20","unk.",2.01,3.17308711994203
"UTUA20","unk.",1.53,1.83853856069709
"UTUA20","Ba",7,38.484510006475
"UTUA20","Ba",11.1,96.7689077121996
"UTUA20","Ba",8.8,60.8212337734984
"UTUA20","Co",3.83,11.5209271190608
"UTUA20","Co",2.56,5.14718540364152
"UTUA20","Co",1.3,1.32732289614169
"UTUA20","Co",1.11,0.967689077121996
"UTUA20","Ba",6.4,32.1699087727595
"UTUA20","Ba",8.3,54.1060794764502
"UTUA20","Co",1.31,1.34782178820636
"UTUA20","Co",1.81,2.57304292310638
"UTUA20","Ba",15,176.714586764426
"UTUA20","Ba",11.5,103.868907109313
"UTUA20","Ba",11,95.0331777710912
"UTUA20","Ba",8,50.2654824574367
"UTUA20","Ba",12.9,130.698108370969
"UTUA20","Ba",5.2,21.237166338267
"UTUA20","Ba",7.8,47.7836242611007
"UTUA20","Co",1.88,2.77591126871194
"UTUA20","Co",1.52,1.81458391671346
"UTUA20","Co",1.66,2.16424317905801
