"FARM","year","Plot","Size","plantID","TYPE","DBH_cm","basalA","gpsID","Notes","TYPE_clean"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_1","Co",0.68,0.36316811075498,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_1","Co",0.97,0.738981131940659,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_2","Co",0.94,0.693977817177985,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_2","Co",0.85,0.567450173054656,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_3","Co",0.99,0.769768739945839,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_3","Co",0.82,0.528101725068444,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_3","Co",0.74,0.430084034276443,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_3","Co",0.69,0.373928065593525,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_4","Co",1.46,1.674154725098,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_4","Co",1.42,1.58367685667461,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_4","Co",1.74,2.37787147950211,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_4","Co",1.63,2.08672438033068,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_4","Co",1.79,2.51649425534176,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_4","Co",1.78,2.48845554090848,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_5","Citr",11.8,109.358840271461,NA,NA,"Ci"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_5","Citr",10.7,89.9202357273738,NA,NA,"Ci"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_5","Citr",8.3,54.1060794764502,NA,NA,"Ci"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_5","Citr",10.3,83.3228911548353,NA,NA,"Ci"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_6","Co",0.57,0.255175863287831,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_6","Co",0.64,0.321699087727595,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_7","Co",0.87,0.594467869875528,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_7","Co",0.71,0.395919214168654,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_7","Co",0.66,0.342119439975928,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_7","Co",0.66,0.342119439975928,NA,NA,"Co"
"UTUA2",2022,"Plot 1","10x10","UTUA2_22_8","Co",0.64,0.321699087727595,NA,NA,"Co"
