Farm,Date,Plot,Size,Plant Type,Notes,ID,DBH01,DBH02,DBH03,DBH04,DBH05,DBH06,DBH07,DBH08,DBH09,DBH10,DBH11,DBH12,DBH13,DBH14,DBH15,DBH16,DBH17,DBH18,DBH19,DBH20,DBH21,DBH22,DBH23
UTUA2,5/14/23,1,30x30,Ci,,1,6,61,8,4.75,8.5,4.6,4.8,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,2,14,11,6.8,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,3,8,6.3,10.5,5,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,4,6.4,13.3,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,5,6.5,6.3,3.5,9.1,9.4,3.5,4.8,8.6,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,6,7.4,5.8,9,4.8,3.1,6,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,7,8.6,9.8,7.4,6.4,2.9,4.1,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,8,2.7,4.9,3.9,1.7,2,4.3,1.6,1.9,4.7,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,9,9.6,6.7,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,10,9.1,10.4,8.9,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,11,16.3,12.4,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,Has a dead branch,12,3.1,6,4.7,4.3,9.6,3.9,2.4*,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,13,9.2,5.1,4.9,5.5,2.9,9.7,6,5.1,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,14,7.6,5.4,10.4,5.2,3.6,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,15,5,12,2.5,5.3,7,8,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,16,3.2,7,7.8,4.9,8.4,5.3,7.6,4.2,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,17,7.6,4.8,7.1,8.3,9.8,4.7,5,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,18,5.1,3,8.1,7,7.3,9,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,19,15,6.8,3.9,3.8,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,Has a dead branch,20,6,8.7,10.7 *,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,Dead tree,21,11,6.4,5.9,5.7,4.6,8.1,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,22,3.1,12.5,6.2,10.2,7,6.6,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,23,10.8,8.5,10.3,12.4,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,24,8,10.4,8.9,9.7,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,25,10.8,6.3,4.9,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ba,Banana,26,10,,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,27,8,9,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,Has two dead branches,28,8,9.1,6.6,5.6,7.9,8.3,2.6 *,4.1 *,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,29,10.5,11.4,6,6.1,9.1,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,30,5.7,5.7,13.3,9.6,7.2,9.7,6.7,9.2,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,31,15.1,6.7,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,32,7.6,18.5,6.7,8.1,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,1,30x30,Ci,,33,7.4,13.1,,,,,,,,,,,,,,,,,,,,,
